Location ID,Time,Recorder,Rec Count,Page,Segment,Direction,Count,Gender ,Age_Y,Age_O,Helmet,Wrong way,Sidewalk,Distracted,Pedestrian,Notes,Construction
109,PM,Ann Connolly,9,2,3,3,,1,,,,,,,2,,
109,PM,Ann Connolly,9,2,3,4,3,,,,1,,,1,2,,
109,PM,Ann Connolly,9,2,4,1,1,,,,,,,,2,,
109,PM,Ann Connolly,9,2,4,2,3,,,,,1,1,,1,,
109,PM,Ann Connolly,9,2,4,3,1,,,,1,,,,5,,
109,PM,Ann Connolly,9,2,4,4,7,2,1,,1,,2,1,2,,
110,AM,"Joe ""Okie"" OConnor",10,1,1,1,4,0,0,0,3,0,1,0,2,,
110,AM,"Joe ""Okie"" OConnor",10,1,1,2,3,0,0,0,2,0,0,0,2,,
110,AM,"Joe ""Okie"" OConnor",10,1,1,3,2,0,0,0,1,0,0,0,1,,
110,AM,"Joe ""Okie"" OConnor",10,1,1,4,0,0,0,0,0,0,0,0,2,,
110,AM,"Joe ""Okie"" OConnor",10,1,2,1,0,0,0,0,0,0,0,0,0,,
110,AM,"Joe ""Okie"" OConnor",10,1,2,2,3,0,0,0,1,1,0,0,0,,
110,AM,"Joe ""Okie"" OConnor",10,1,2,3,0,0,0,0,0,0,0,0,0,,
110,AM,"Joe ""Okie"" OConnor",10,1,2,4,0,0,0,0,0,0,0,0,1,,
110,AM,"Joe ""Okie"" OConnor",10,1,3,1,2,0,0,0,1,0,1,0,0,,
110,AM,"Joe ""Okie"" OConnor",10,1,3,2,0,0,0,0,0,0,0,0,1,,
110,AM,"Joe ""Okie"" OConnor",10,1,3,3,1,0,0,0,0,0,0,0,3,,
110,AM,"Joe ""Okie"" OConnor",10,1,3,4,1,0,0,0,0,0,1,0,0,,
110,AM,"Joe ""Okie"" OConnor",10,1,4,1,0,0,0,0,0,0,0,0,1,,
110,AM,"Joe ""Okie"" OConnor",10,1,4,2,7,3,0,0,6,0,0,0,0,,
110,AM,"Joe ""Okie"" OConnor",10,1,4,3,0,0,0,0,0,0,0,0,1,,
110,AM,"Joe ""Okie"" OConnor",10,1,4,4,0,0,0,0,0,0,0,0,1,,
110,AM,"Joe ""Okie"" OConnor",10,2,1,1,4,2,0,0,4,0,0,0,1,,
110,AM,"Joe ""Okie"" OConnor",10,2,1,2,3,1,0,0,3,0,0,0,1,,
110,AM,"Joe ""Okie"" OConnor",10,2,1,3,0,0,0,0,0,0,0,0,0,,
110,AM,"Joe ""Okie"" OConnor",10,2,1,4,1,1,0,0,0,0,0,0,0,,
110,AM,"Joe ""Okie"" OConnor",10,2,2,1,4,1,0,0,2,2,3,0,0,,
110,AM,"Joe ""Okie"" OConnor",10,2,2,2,5,1,0,0,3,1,2,0,1,,
110,AM,"Joe ""Okie"" OConnor",10,2,2,3,2,0,0,0,2,0,0,0,2,,
110,AM,"Joe ""Okie"" OConnor",10,2,2,4,0,0,0,0,0,0,0,0,1,,
110,AM,"Joe ""Okie"" OConnor",10,2,3,1,0,0,0,0,0,0,0,0,0,,
110,AM,"Joe ""Okie"" OConnor",10,2,3,2,2,1,0,0,0,0,1,0,1,,
110,AM,"Joe ""Okie"" OConnor",10,2,3,3,1,0,0,0,0,0,0,0,0,,
